volume,average_price,revenue,customer_count
2025-01-01,NA,P04,78
2025-01-01,OTHER,P01,70
2025-01-01,OTHER,P02,81
2025-01-01,OTHER,P03,71
2025-01-01,OTHER,P04,40
2025-02-01,APAC,P01,42
2025-02-01,APAC,P02,97
2025-02-01,APAC,P03,94
2025-02-01,APAC,P04,75
2025-02-01,EU,P01,50
2025-02-01,EU,P02,86
2025-02-01,EU,P03,48
2025-02-01,EU,P04,62
2025-02-01,NA,P01,59
2025-02-01,NA,P02,40
2025-02-01,NA,P03,88
2025-02-01,NA,P04,70
2025-02-01,OTHER,P01,58
2025-02-01,OTHER,P02,70
2025-02-01,OTHER,P03,40
2025-02-01,OTHER,P04,66
2025-03-01,APAC,P01,71
2025-03-01,APAC,P02,60
2025-03-01,APAC,P03,89
2025-03-01,APAC,P04,54
2025-03-01,EU,P01,48
2025-03-01,EU,P02,71
2025-03-01,EU,P03,93
2025-03-01,EU,P04,62
2025-03-01,NA,P01,42
2025-03-01,NA,P02,98
2025-03-01,NA,P03,66
2025-03-01,NA,P04,50
2025-03-01,OTHER,P01,76
2025-03-01,OTHER,P02,59
2025-03-01,OTHER,P03,96
2025-03-01,OTHER,P04,57
2025-04-01,APAC,P01,73
2025-04-01,APAC,P02,72
2025-04-01,APAC,P03,54
2025-04-01,APAC,P04,69
2025-04-01,EU,P01,46
2025-04-01,EU,P02,78
2025-04-01,EU,P03,85
2025-04-01,EU,P04,97
2025-04-01,NA,P01,59
2025-04-01,NA,P02,57
2025-04-01,NA,P03,72
2025-04-01,NA,P04,81
2025-04-01,OTHER,P01,99
2025-04-01,OTHER,P02,41
2025-04-01,OTHER,P03,54
2025-04-01,OTHER,P04,55
2025-05-01,APAC,P01,55
2025-05-01,APAC,P02,67
2025-05-01,APAC,P03,92
2025-05-01,APAC,P04,41
2025-05-01,EU,P01,88
2025-05-01,EU,P02,77
2025-05-01,EU,P03,76
2025-05-01,EU,P04,80
2025-05-01,NA,P01,46
2025-05-01,NA,P02,84
2025-05-01,NA,P03,54
2025-05-01,NA,P04,70
2025-05-01,OTHER,P01,80
2025-05-01,OTHER,P02,76
2025-05-01,OTHER,P03,59
2025-05-01,OTHER,P04,63
2025-06-01,APAC,P01,68
2025-06-01,APAC,P02,42
2025-06-01,APAC,P03,83
2025-06-01,APAC,P04,45
2025-06-01,EU,P01,67
2025-06-01,EU,P02,79
2025-06-01,EU,P03,44
2025-06-01,EU,P04,99
2025-06-01,NA,P01,62
2025-06-01,NA,P02,40
2025-06-01,NA,P03,79
2025-06-01,NA,P04,73
2025-06-01,OTHER,P01,78
2025-06-01,OTHER,P02,85
2025-06-01,OTHER,P03,68
2025-06-01,OTHER,P04,89
2025-07-01,APAC,P01,62
2025-07-01,APAC,P02,72
2025-07-01,APAC,P03,49
2025-07-01,APAC,P04,77
2025-07-01,EU,P01,55
2025-07-01,EU,P02,81
2025-07-01,EU,P03,88
2025-07-01,EU,P04,91
2025-07-01,NA,P01,95
2025-07-01,NA,P02,47
2025-07-01,NA,P03,48
2025-07-01,NA,P04,95
2025-07-01,OTHER,P01,62
2025-07-01,OTHER,P02,41
2025-07-01,OTHER,P03,57
2025-07-01,OTHER,P04,90
2025-08-01,APAC,P01,61
2025-08-01,APAC,P02,44
2025-08-01,APAC,P03,83
2025-08-01,APAC,P04,51
2025-08-01,EU,P01,61
2025-08-01,EU,P02,40
2025-08-01,EU,P03,76
2025-08-01,EU,P04,66
2025-08-01,NA,P01,92
2025-08-01,NA,P02,60
2025-08-01,NA,P03,52
2025-08-01,NA,P04,49
2025-08-01,OTHER,P01,52
2025-08-01,OTHER,P02,67
2025-08-01,OTHER,P03,45
2025-08-01,OTHER,P04,64
2025-09-01,APAC,P01,91
2025-09-01,APAC,P02,86
2025-09-01,APAC,P03,78
2025-09-01,APAC,P04,93
2025-09-01,EU,P01,86
2025-09-01,EU,P02,79
2025-09-01,EU,P03,91
2025-09-01,EU,P04,47
2025-09-01,NA,P01,89
2025-09-01,NA,P02,57
2025-09-01,NA,P03,83
2025-09-01,NA,P04,94
2025-09-01,OTHER,P01,69
2025-09-01,OTHER,P02,45
2025-09-01,OTHER,P03,62
2025-09-01,OTHER,P04,64
2025-10-01,APAC,P01,96
2025-10-01,APAC,P02,96
2025-10-01,APAC,P03,74
2025-10-01,APAC,P04,97
2025-10-01,EU,P01,66
2025-10-01,EU,P02,64
2025-10-01,EU,P03,90
2025-10-01,EU,P04,80
2025-10-01,NA,P01,71
2025-10-01,NA,P02,67
2025-10-01,NA,P03,82
2025-10-01,NA,P04,85
2025-10-01,OTHER,P01,69
2025-10-01,OTHER,P02,41
2025-10-01,OTHER,P03,46
2025-10-01,OTHER,P04,48
2025-11-01,APAC,P01,67
2025-11-01,APAC,P02,76
2025-11-01,APAC,P03,88
2025-11-01,APAC,P04,53
2025-11-01,EU,P01,87
2025-11-01,EU,P02,79
2025-11-01,EU,P03,43
2025-11-01,EU,P04,61
2025-11-01,NA,P01,58
2025-11-01,NA,P02,93
2025-11-01,NA,P03,95
2025-11-01,NA,P04,89
2025-11-01,OTHER,P01,71
2025-11-01,OTHER,P02,69
2025-11-01,OTHER,P03,58
2025-11-01,OTHER,P04,86
2025-12-01,APAC,P01,45
2025-12-01,APAC,P02,56
2025-12-01,APAC,P03,48
2025-12-01,APAC,P04,69
2025-12-01,EU,P01,57
2025-12-01,EU,P02,51
2025-12-01,EU,P03,62
2025-12-01,EU,P04,91
2025-12-01,NA,P01,73
2025-12-01,NA,P02,89
2025-12-01,NA,P03,94
2025-12-01,NA,P04,94
2025-12-01,OTHER,P01,61
2025-12-01,OTHER,P02,92
2025-12-01,OTHER,P03,94
2025-12-01,OTHER,P04,97
2026-01-01,APAC,P01,61
2026-01-01,APAC,P02,53
2026-01-01,APAC,P03,75
2026-01-01,APAC,P04,95
2026-01-01,EU,P01,94
2026-01-01,EU,P02,74
2026-01-01,EU,P03,48
2026-01-01,EU,P04,65
2026-01-01,NA,P01,82
2026-01-01,NA,P02,73
2026-01-01,NA,P03,60
2026-01-01,NA,P04,60
2026-01-01,OTHER,P01,43
2026-01-01,OTHER,P02,57
2026-01-01,OTHER,P03,80
2026-01-01,OTHER,P04,54
2026-02-01,APAC,P01,99
2026-02-01,APAC,P02,44
2026-02-01,APAC,P03,75
2026-02-01,APAC,P04,69
2026-02-01,EU,P01,89
2026-02-01,EU,P02,93
2026-02-01,EU,P03,72
2026-02-01,EU,P04,77
2026-02-01,NA,P01,81
2026-02-01,NA,P02,71
2026-02-01,NA,P03,51
2026-02-01,NA,P04,65
2026-02-01,OTHER,P01,54
2026-02-01,OTHER,P02,67
2026-02-01,OTHER,P03,76
2026-02-01,OTHER,P04,52
2026-03-01,APAC,P01,54
2026-03-01,APAC,P02,89
2026-03-01,APAC,P03,62
2026-03-01,APAC,P04,51
2026-03-01,EU,P01,82
2026-03-01,EU,P02,82
2026-03-01,EU,P03,89
2026-03-01,EU,P04,85
2026-03-01,NA,P01,99
2026-03-01,NA,P02,74
2026-03-01,NA,P03,57
2026-03-01,NA,P04,91
2026-03-01,OTHER,P01,55
2026-03-01,OTHER,P02,57
2026-03-01,OTHER,P03,89
2026-03-01,OTHER,P04,92
2026-04-01,APAC,P01,60
2026-04-01,APAC,P02,83
2026-04-01,APAC,P03,95
2026-04-01,APAC,P04,87
2026-04-01,EU,P01,40
2026-04-01,EU,P02,79
2026-04-01,EU,P03,50
2026-04-01,EU,P04,90
2026-04-01,NA,P01,44
2026-04-01,NA,P02,99
2026-04-01,NA,P03,50
2026-04-01,NA,P04,65
2026-04-01,OTHER,P01,54
2026-04-01,OTHER,P02,88
2026-04-01,OTHER,P03,63
2026-04-01,OTHER,P04,84
2026-05-01,APAC,P01,44
2026-05-01,APAC,P02,67
2026-05-01,APAC,P03,94
2026-05-01,APAC,P04,95
2026-05-01,EU,P01,52
2026-05-01,EU,P02,63
2026-05-01,EU,P03,64
2026-05-01,EU,P04,73
2026-05-01,NA,P01,72
2026-05-01,NA,P02,46
2026-05-01,NA,P03,85
2026-05-01,NA,P04,53
2026-05-01,OTHER,P01,58
2026-05-01,OTHER,P02,90
2026-05-01,OTHER,P03,81
2026-05-01,OTHER,P04,63
2026-06-01,APAC,P01,94
2026-06-01,APAC,P02,63
2026-06-01,APAC,P03,73
2026-06-01,APAC,P04,54
2026-06-01,EU,P01,50
2026-06-01,EU,P02,69
2026-06-01,EU,P03,73
2026-06-01,EU,P04,88
2026-06-01,NA,P01,63
2026-06-01,NA,P02,93
2026-06-01,NA,P03,76
2026-06-01,NA,P04,44
2026-06-01,OTHER,P01,84
2026-06-01,OTHER,P02,74
2026-06-01,OTHER,P03,63
2026-06-01,OTHER,P04,68
2026-07-01,APAC,P01,58
2026-07-01,APAC,P02,76
2026-07-01,APAC,P03,74
2026-07-01,APAC,P04,66
2026-07-01,EU,P01,57
2026-07-01,EU,P02,63
2026-07-01,EU,P03,69
2026-07-01,EU,P04,68
2026-07-01,NA,P01,58
2026-07-01,NA,P02,74
2026-07-01,NA,P03,53
2026-07-01,NA,P04,70
2026-07-01,OTHER,P01,47
2026-07-01,OTHER,P02,68
2026-07-01,OTHER,P03,87
2026-07-01,OTHER,P04,89
2026-08-01,APAC,P01,81
2026-08-01,APAC,P02,84
2026-08-01,APAC,P03,43
2026-08-01,APAC,P04,60
2026-08-01,EU,P01,79
2026-08-01,EU,P02,88
2026-08-01,EU,P03,74
2026-08-01,EU,P04,91
2026-08-01,NA,P01,56
2026-08-01,NA,P02,49
2026-08-01,NA,P03,45
2026-08-01,NA,P04,74
2026-08-01,OTHER,P01,79
2026-08-01,OTHER,P02,57
2026-08-01,OTHER,P03,87
2026-08-01,OTHER,P04,84
2026-09-01,APAC,P01,61
2026-09-01,APAC,P02,54
2026-09-01,APAC,P03,84
2026-09-01,APAC,P04,80
2026-09-01,EU,P01,50
2026-09-01,EU,P02,55
2026-09-01,EU,P03,69
2026-09-01,EU,P04,70
2026-09-01,NA,P01,49
2026-09-01,NA,P02,96
2026-09-01,NA,P03,63
2026-09-01,NA,P04,62
2026-09-01,OTHER,P01,43
2026-09-01,OTHER,P02,92
2026-09-01,OTHER,P03,54
2026-09-01,OTHER,P04,99
2026-10-01,APAC,P01,69
2026-10-01,APAC,P02,92
2026-10-01,APAC,P03,50
2026-10-01,APAC,P04,49
2026-10-01,EU,P01,88
2026-10-01,EU,P02,89
2026-10-01,EU,P03,72
2026-10-01,EU,P04,41
2026-10-01,NA,P01,96
2026-10-01,NA,P02,63
2026-10-01,NA,P03,96
2026-10-01,NA,P04,92
2026-10-01,OTHER,P01,91
2026-10-01,OTHER,P02,81
2026-10-01,OTHER,P03,80
2026-10-01,OTHER,P04,71
2026-11-01,APAC,P01,41
2026-11-01,APAC,P02,63
2026-11-01,APAC,P03,83
2026-11-01,APAC,P04,88
2026-11-01,EU,P01,73
2026-11-01,EU,P02,82
2026-11-01,EU,P03,41
2026-11-01,EU,P04,68
2026-11-01,NA,P01,70
2026-11-01,NA,P02,93
2026-11-01,NA,P03,58
2026-11-01,NA,P04,53
2026-11-01,OTHER,P01,61
2026-11-01,OTHER,P02,50
2026-11-01,OTHER,P03,73
2026-11-01,OTHER,P04,78
2026-12-01,APAC,P01,88
2026-12-01,APAC,P02,98
2026-12-01,APAC,P03,44
2026-12-01,APAC,P04,54
2026-12-01,EU,P01,58
2026-12-01,EU,P02,54
2026-12-01,EU,P03,89
2026-12-01,EU,P04,48
2026-12-01,NA,P01,41
2026-12-01,NA,P02,91
2026-12-01,NA,P03,97
2026-12-01,NA,P04,53
2026-12-01,OTHER,P01,59
2026-12-01,OTHER,P02,70
2026-12-01,OTHER,P03,71
2026-12-01,OTHER,P04,99
